Title,Description,Year,Runtime,Genres,Seasons
D.P.,A young private’s assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.,2021,62,['action'],1.0
Midnight Asia: Eat · Dance · Dream,"Night brings out the most playful side of Asia's metropolises. This docuseries captures the food, drink, music — and night owls who shine in the dark.",2022,37,['documentation'],1.0
Dad Stop Embarrassing Me!,A single dad and cosmetics brand owner figures out fatherhood on the fly when his strong-minded teen daughter moves in with him.,2021,25,"['comedy', 'family']",1.0
Mine,"Encaged in a gold-clad life of secrets and lies, two women in a conglomerate family seek to topple all that stands in their way of finding true joy.",2021,69,['drama'],1.0
Mad for Each Other,"Bothered to realize they are next-door neighbors and share a psychiatrist, a man and a woman find it's impossible to stay out of each other's way.",2021,35,"['drama', 'comedy', 'romance']",1.0
Sharkdog,"10 year old Max and his best friend Sharkdog - half shark, half dog, all appetite. Blissfully unaware of his own strength, stealth and general sharkiness, Sharkdog often leaves a trail of chaos in his wake.",2021,0,"['comedy', 'family', 'animation']",1.0
Cat People,"CAT PEOPLE tells the stories of some of the most remarkable and surprising ""cat people"" in the world, defying negative stereotypes while revealing the truth of what it means to love such fiercely independent creatures.",2021,32,['documentation'],1.0
Law School,"When a grim incident occurs at their prestigious school, justice through law is put to a test by a tough law professor and his ambitious students.",2021,60,"['crime', 'drama', 'thriller']",1.0
Love Is Blind: Brazil,"The dating experiment comes to Brazil as local singles look for true love and get engaged, all without meeting the other person face to face.",2021,56,"['romance', 'reality']",1.0
Tattoo Redo,"Bad tattoos walk in. Great tattoos walk out. Top artists transform tattoo disasters into stunning cover-ups, with designs chosen by clients' loved ones.",2021,30,['reality'],1.0
Bake Squad,Expert bakers elevate desserts with next-level ideas and epic execution. Now the battle is on to win over clients in need of very special sweets.,2021,38,['reality'],1.0
Country Comfort,"When an up-and-coming young country singer accepts a job as a nanny with a musical family, she finds the bond she's always missed.",2021,24,"['drama', 'comedy', 'action', 'family', 'music']",1.0
Secrets of Summer,"A remote Argentine resort revives its wakeboarding competition, drawing in Mexican athlete Steffi, who is determined to uncover a family secret.",2022,30,"['drama', 'family', 'music']",1.0
Adventure Beast,"A brave zoologist, his spunky niece and anxious assistant explore the world while saving wild beasts in this adult animated educational-comedy series.",2021,19,"['comedy', 'animation']",1.0
Transformers: BotBots,"When the lights go out at the mall, the BotBots come out to play! Meet a fun-loving crew of everyday objects that morph into robots at closing time.",2022,25,"['animation', 'action', 'comedy', 'family', 'fantasy', 'scifi']",1.0
Zero,A teenager who can make herself invisible is used by an idiot to take control of the neighborhood and then meets a mysterious art student.,2021,24,"['scifi', 'action', 'comedy', 'drama', 'fantasy']",1.0
Headspace Guide to Sleep,"Learn how to sleep better with Headspace. Each episode unpacks misconceptions, offers friendly tips and concludes with a guided wind-down",2021,19,"['animation', 'documentation']",1.0
Dealer,Tensions erupt when two filmmakers infiltrate an area ruled by gangs to shoot a music video for a rapper in this gritty found-footage series.,2021,32,"['action', 'drama', 'crime', 'thriller']",1.0
A Tale Dark & Grimm,Follow Hansel and Gretel as they walk out of their own story into a winding and wickedly witty tale full of strange -and scary- surprises.,2021,31,"['comedy', 'family', 'fantasy', 'animation', 'action']",1.0
Ray,"From a satire to a psychological thriller, four short stories from celebrated auteur and writer Satyajit Ray are adapted for the screen in this series.",2021,59,"['drama', 'thriller', 'crime']",1.0
Your Life is a Joke,Comedian Oliver Polak gets to know celebrities at some of their favorite spots before roasting them with good-natured stand-up sets.,2021,37,"['comedy', 'documentation']",1.0
Navillera,A coming-of-age drama about a 23-year-old ballerino and an old man who begins ballet at the age of 70.,2021,64,['drama'],1.0
Coyotes,"A troop of scouts arrives at Warnaffe for their big summer camp. Among them, the newest member of the Coyotes patrol, Kevin, a rebellious and lonely boy. From the first evening, he leaves to find something to smoke in the neighbouring village. There he meets Marie with whom it's love at first sight. They spend the night by a lake in a quarry. The next day, still under the influence of drugs, Kevin dives into the lake, discovers a cave, diamonds and a corpse of a young man. This is where problems started.",2021,45,['drama'],1.0
Supercães,"Four pups with superpowers team up to help their new friends and a furry alien comrade in this cuddly, cosmic adventure.",2022,30,"['comedy', 'family']",1.0
Hype House,"From humble beginnings to overnight fame, these are the stories of the most popular personalities on social media as they come into their own, fall in love and tackle new chapters in their lives.",2022,32,['reality'],1.0
"Hello, Me!","Miserable and unsuccessful, a woman thinks she's lost all her spark — until one day, her spunky younger self appears in front of her demanding change.",2021,61,"['scifi', 'comedy', 'fantasy', 'romance']",1.0
Word of Honor,"Zhou Zi Shu gets embroiled in a conspiracy in the martial arts world after quitting his job as the leader of an organization tasked with protecting royalty. He meets Wen Ke Xing, a mysterious martial artist who escapes from the Ghost Valley to avenge his parents’ deaths. They become fast friends and embark on an adventure to find a legendary treasure that will give its owner ultimate power over jianghu.",2021,43,"['action', 'scifi']",1.0
Ridley Jones,Curious kid Ridley and her friends protect the Museum of Natural History’s treasures and keep its magical secret safe: Everything comes alive at night!,2021,28,"['animation', 'comedy', 'family', 'fantasy']",3.0
Myth and Mogul: John DeLorean,"In the automotive world, John DeLorean rose from engineer to executive to icon. But under the hood of his self-created legend lies darkness and deceit.",2021,44,"['documentation', 'crime']",1.0
Cooking With Paris,"Paris Hilton can cook...kind of. And she’s turning the traditional cooking show upside down. She’s not a trained chef and she’s not trying to be. With the help of her celebrity friends, she navigates new ingredients, new recipes and exotic kitchen appliances.",2021,23,['reality'],1.0
Dogs in Space,"In the not-so-distant future, Earth's scientists send a fleet of genetically enhanced dogs to explore the galaxy in search of a new planet to call home.",2021,22,"['comedy', 'family', 'fantasy', 'scifi', 'animation', 'action']",1.0
Human: The World Within,"Diverse personal stories from around the world reveal how lives, passions and goals are facilitated by the human body's various complex systems.",2021,52,['documentation'],1.0
Taarak Mehta Kka Chhota Chashmah,The residents of Gokuldham Society encounter several adventures and misadventures as they navigate the ups and downs of life and overcome their struggles together.,2021,22,"['animation', 'comedy']",1.0
"Vendetta: Truth, Lies and The Mafia","Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",2021,39,"['documentation', 'crime', 'thriller']",1.0
"Ada Twist, Scientist","Ada Twist, a young scientist who will explore helping people through scientific discovery, collaboration and friendship.",2021,28,"['animation', 'comedy', 'family', 'music']",2.0
Crime Stories: India Detectives,Follows major criminal investigations from the time the crime is reported until the suspect gets captured.,2021,52,"['documentation', 'crime']",1.0
The World's Most Amazing Vacation Rentals,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",2021,35,['reality'],2.0
The Hungry and the Hairy,"On the motorbike road trip of their dreams, buddies Rain and Ro Hong-chul relax and unwind as they delight in tasty eats and scenic locales around Korea.",2021,63,['reality'],1.0
Somos.,"The lives of the people of Allende, a Mexican border town, are overtaken by a powerful cartel's operations, leading to tragedy. Inspired by true events.",2021,47,"['drama', 'history', 'crime']",1.0
Racket Boys,A story of a boys' badminton team at a middle school in Haenam as they compete in a junior athletic competition. The 16 year old boys and girls in Haenam grow as people during this time.,2021,70,"['comedy', 'family', 'drama', 'sport']",1.0
The Houseboat,"With plenty of passion and little know-how, two musicians undertake a daunting project: turn a late singer's houseboat into a creative musical space.",2021,37,['documentation'],1.0
Decoupled,"Follows a writer and his wife who announce their divorce with a party, which ends up exposing other absurd relationships in their world.",2021,30,"['comedy', 'drama']",1.0
Rebelde,Head back to Elite Way School as a new generation of students hope to win the Battle of the Bands.,2022,39,"['drama', 'comedy', 'music', 'romance', 'family']",2.0
Karma's World,"Lyrically gifted middle schooler Karma juggles rap dreams and rhyme schemes while using her talent, ambition and heart to solve any problem.",2021,11,"['animation', 'comedy', 'family']",2.0
So Not Worth It,"New friends, new loves and new experiences mix together inside a colorful college dormitory in Korea that's home to students from around the world.",2021,31,['drama'],1.0
42 Days of Darkness,A woman must fight against the negligence of State institutions and the harassment of the media after the disappearance of her sister.,2022,46,"['thriller', 'drama', 'crime']",1.0
"Fresh, Fried & Crispy","Passionate about food and ready for fun, critic Daym Drops drops in on America's smokin' hot spots for the best, freshest takes on fried food.",2021,25,"['documentation', 'reality']",1.0
Storybots Laugh Learn Sing,"Learn along with Beep, Boop, Bing, Bang, and Bo as they make their way through a musical alphabet, from awesome A's to mighty M's and all the way to Z.",2021,59,"['animation', 'family']",1.0
Remember You,"A genius detective teams up with a colleague to investigate a case that hits close to home, but the duo becomes entangled in a cat-and-mouse game.",2021,67,"['action', 'crime', 'drama', 'romance']",1.0
The Fastest,"In this unpredictable and thrilling racing competition, drivers from the Middle East with something to prove battle on the track for a cash prize.",2021,35,['reality'],1.0
Till Death,"Fed up with his wife’s distancing from him, Hadi goes on a business trip to Turkey where he meets a special woman, an encounter that changes his life forever.",2021,53,['drama'],2.0
Scaredy Cats,"On Willa Ward’s twelfth birthday, she inherits a beautiful charm necklace that belonged to her mother, who was a witch.  She soon learns 2 bad witches, Wilma and Wanda are after her locket so they can have ultimate power, and she alongside her best friends Scout and Lily turn into cats to escape.",2021,26,"['scifi', 'family', 'fantasy', 'comedy']",1.0
We the People,"Learn the basics of rights and citizenship with upbeat songs by popular artists like Janelle Monáe, H.E.R., Adam Lambert, Brandi Carlile and more.",2021,5,"['family', 'music', 'animation', 'comedy']",1.0
My Love: Six Stories of True Love,"Inspired by the acclaimed Korean documentary My Love, Don't Cross That River, the poignant series MY LOVE documents a year in the lives of six elderly couples from around the world. Globe-trotting through Brazil, India, Japan, Korea, the U.S., and Spain, the six-part docuseries gets to the heart of long-lasting love.",2021,70,"['reality', 'romance', 'documentation']",1.0
The War Next-door,"When two antagonistic families end up living next door in a posh neighborhood, the matriarchs ensue a full-scale war of unintended consequences.",2021,32,['comedy'],1.0
Marriage or Mortgage,"Married or single, we've all heard it. ""You could buy a house for the price of that wedding!"" But have you ever stopped to think, what if you actually did? In the Marriage or Mortgage, a wedding planner and a real estate agent compete to win the hearts and budgets of spouses-to-be. Will they pick fairy-tale nuptials or a dream home?",2021,40,['reality'],1.0
The Future Diary,"The Future Diary is a love diary of events that will happen in the future. Two people who have never met before are cast to live out a romantic storyline by following a diary that is handed to them. Their semi-fictional exchange, based on the casts' own words, takes them through an experience that could ultimately influence how they view one another. Will the adventure lead to real romance? A reboot of the legendary romance reality series that made 20 years ago starts from December 14, 2021.",2021,33,"['reality', 'romance']",2.0
Race: Bubba Wallace,Follows the NASCAR driver Bubba Wallace as he competes for the 23XI Racing team.,2022,47,"['documentation', 'sport']",1.0
The Wedding Coach,Former bride and forever comedian Jamie Lee shares her irreverent yet practical tips and tricks for wedding planning with struggling lovebirds.,2021,32,"['comedy', 'reality']",1.0
Haunted: Latin America,"Real people's terrifying tales of the chilling, unexplained and paranormal come to life with dramatic reenactments in this reality series.",2021,33,"['reality', 'horror']",1.0
Pet Stars,Follow talent management company Pets on Q as they work with the biggest animal influencers on social media in this reality series,2021,27,"['reality', 'family']",1.0
MaveriX,"Six young motocross riders come together to form a team, to make the national titles, or crash out trying. But the biggest win of all might be the friends they make for life.",2022,23,"['sport', 'family']",1.0
The Rational Life,"Shen Ruo Xin is a thirty-something professional who decides to take a stand against unfair societal expectations At her workplace she finds herself drawn  to two different  men - one  her trusted, younger assistant, the other her bachelor boss.  Knowing she is considered a 'leftover woman' weighs heavily on her.  Will  she opt to marry the man society deems appropriate, or will she listen to her heart and screw up the courage to pursue a romance with the younger man?",2021,45,"['drama', 'romance']",1.0
Dive Club,"Dive Club follows the story of a feisty group of teen divers who search for their friend when she disappears after a cyclone hits Cape Mercy, their small coastal town.",2021,0,"['drama', 'family']",1.0
Elize Matsunaga: Once Upon a Crime,"The crime shocked Brazil: Elize Matsunaga shot and dismembered her rich husband. Featuring her first interview, this docuseries dives deep into the case.",2021,49,"['crime', 'documentation']",1.0
"Nevenka, Breaking The Silence","The story of the first sexual harassment case in Spain was a scandal. Nevenka Fernández, its protagonist, discusses it in this documentary.",2021,38,"['documentation', 'crime']",1.0
Hei$t: The Great Robbery of Brazil's Central Bank,"In August 2005, through a tunnel almost 80 meter long, thiefs invaded the bank vault of Brazil's Central Bank in Fortaleza and stole over 160 milions reais, ou or nealy 3,5 tons of cash. This documenty explores that spectacular and historic heist.",2022,61,"['documentation', 'crime']",1.0
The New Adventures of Oggy,Join adorable kitten Oggy and his cast of cat pals in a bright and colorful kitty world. They're always on the go for fun times and fantastic adventures.,2021,15,"['comedy', 'family', 'action', 'animation']",1.0
African Knock Out Show,"Through intense training and challenges, a group of amateur fighters competes for a championship title while living in the same house for nine weeks.",2022,32,[],1.0
Alma Matters: Inside the IIT Dream,"In a ""nation of middle-class"" the IIT dream involves clearing the world's toughest public exam for guaranteed lifelong success. Life is not an exam though. It's a hustle, one that nobody trains them for. The result? Eternal tumult.",2021,51,"['drama', 'documentation']",1.0
Jiva!,"A talented street dancer from Umlazi, Durban must confront her fears and deal with family objections to pursue her dancing dreams.",2021,38,['drama'],1.0
New World,"In this reality show, six celebs strategize and sabotage to earn virtual currency they can cash in on the final day of their stay on a utopian island.",2021,68,['reality'],1.0
I Heart Arlo,Arlo and his newfound crew set up shop in an abandoned seaside neighborhood and help bring it back to life.,2021,15,"['comedy', 'family', 'animation']",1.0
Canine Intervention,"Canine Intervention follows renowned Oakland dog trainer, Jas Leverette, as he runs one of the top dog training facilities in California. Cali K9 works with all breeds and are confident in being able to correct any type of behavior issue.",2021,35,"['documentation', 'reality']",1.0
Reasonable Doubt: A Tale of Two Kidnappings,A fender bender that turned into a kidnapping case leads documentalist Roberto Hernández to expose the truth behind Mexico's flawed justice system.,2021,47,"['crime', 'documentation']",1.0
Under Suspicion: Uncovering the Wesphael Case,"This docuseries follows the high-profile case of Belgian politician Bernard Wesphael, who was accused of murdering his wife in 2013.",2021,36,"['crime', 'documentation']",1.0
Metal Shop Masters,"A group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",2021,0,['reality'],1.0
Revelations: The Masters of the Universe: Revelation Aftershow,"Take a behind-the-scenes look at ""Masters of the Universe: Revelation"" as showrunner Kevin Smith and others interview the cast about their iconic roles.",2021,25,['action'],1.0
Titletown High,"In a Georgia town where football rules and winning is paramount, a high school team tackles romance, rivalries and real life while vying for a title.",2021,34,"['reality', 'sport']",1.0
Magic for Humans Spain,"In this Spanish adaptation of ""Magic for Humans,"" folks of all ages on the streets of Barcelona are amazed by tricks that inspire delight and wonder.",2021,23,"['reality', 'comedy']",1.0
Let's Fight Ghost,"A cohabitation comedy about a ghost of a high school girl who has been dead for 5 years and an exorcist college boy with the ability to see and hear ghosts. What he’s discovered over the years is that he can touch them and fight them off, so when he’s in need of a part-time job and can’t find one that pays well enough, he starts putting ads online as an exorcist for hire. His ad: “Will face off with your ghosts. Chances of winning: virgin ghosts 80%, bachelor ghosts 40%, child ghosts 97%, the rest 50%.” One night he goes out on the job and faces off with a schoolgirl ghost, and during the fight, they accidentally kiss and sparks fly.""",2021,65,"['drama', 'action', 'fantasy', 'horror', 'romance']",1.0
The Snitch Cartel: Origins,"In Cali during the '60s and '70s, two brothers juggle family, romance and the joint pursuit of a burning ambition: to rule Colombia's drug industry.",2021,48,"['crime', 'drama']",1.0
How to Be A Cowboy,"Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive and now he's teaching the world how to cowboy right, ol' son.",2021,25,['reality'],1.0
Stories of a Generation - with Pope Francis,"Stories Of A Generation narrates the values of life: from love to pain, from work to dreams. 18 generational stories are enriched with the participation of Pope Francis and Martin Scorsese.",2021,46,['documentation'],1.0
The Family That Sings Together: The Camargos,"Surrounded by family and friends, Zezé Di Camargo and daughter Wanessa spend time together and collaborate creatively in this exclusive reality series.",2021,39,"['documentation', 'music', 'reality']",1.0
Bangkok Breaking,"Newly arrived in Bangkok, Wanchai joins the road rescue service and unravels a city-wide conspiracy with the help of a journalist.",2021,60,"['drama', 'thriller', 'action', 'crime']",1.0
The Mystic River,"As pregnant women vanish in a remote Nigerian village over decades, a doctor with child finds herself extremely close to uncovering dangerous secrets.",2021,40,['horror'],1.0
Yeh Kaali Kaali Ankhein,"Relentlessly pursued by a powerful politician’s daughter who will do anything to make him hers, a man slips down a dark, risky path to reclaim his life.",2022,40,['drama'],1.0
Kayko and Kokosh,Two Slavic warriors do everything in their power to defend the village of Mirmiłowo from the evil order of Knaveknights.,2021,13,"['animation', 'comedy', 'fantasy', 'action']",2.0
The Ingenuity of the Househusband,"Web series of shorts starring Kenjiro Tsuda, the voice actor of The Way of the Househusband (2021), as himself who is a retired gangster who spends his time as a househusband.",2021,6,['comedy'],1.0
Juanpis González - The Series,"The most spoiled man in the country has to overcome a difficult test imposed by his grandfather to inherit the family fortune, through which he finds what he believes is his vocation: To do politics but to the no always lawful way of it.",2022,26,"['comedy', 'drama']",1.0
Let's Eat,A food-blogging insurance agent encounters a friend from elementary school with a vendetta against him -- but soon becomes her sidekick.,2021,60,"['drama', 'comedy']",1.0
Jailbirds New Orleans,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",2021,41,"['documentation', 'reality']",1.0
Bombay Begums,"From boardrooms to society's margins, five ambitious women from various walks of life navigate dreams, desires and disappointments in modern Mumbai.",2021,49,['drama'],1.0
Team Zenko Go,"Every good deed is one for this team of kids. Niah, Ari, Ellie and Jax go undercover to help others and secretly solve the city's problems!",2022,20,"['action', 'animation', 'family']",1.0
The Big Shot Game Show,"Brazilian entrepreneurs pitch their ideas to an audience and celebrity judges. But to win R$200,000, they’ll also have to navigate tough challenges.",2022,49,['reality'],1.0
We Are: The Brooklyn Saints,A Brooklyn youth football program and its selfless coaches provide a safe haven for kids to compete and learn lessons that will take them far in life.,2021,47,"['documentation', 'sport']",1.0
Paik's Spirit,"A reality series introducing Korean alcohol and food culture by Culinary Researcher Baek Jong Won. Drinks keep the conversation flowing as culinary star Baek Jong Won and celebrity guests talk life, food and booze over intoxicating meals.",2021,56,[],1.0
Buried by the Bernards,"In this reality series, the bickering but big-hearted Bernards manage their budget-friendly Memphis funeral home with lots of family dramedy and laughter while helping grieving families say farewell.",2021,0,['reality'],1.0
Brave Animated Series,"An adaption of Taiwanese comic series, Brave Animated Series. The comic artist of this series uses black humor to elaborate social issues, and its storytelling is very into the taste of the younger generation. This program is integrated with multiple resources like TV and music production.

In a world full of discrimination and hatred, stereotype is no longer what it really is. The braves believe that only when the evil is defeated, will the world comes with peace. Yet the braves realize that they are not standing on the side of justice.",2021,26,"['action', 'animation']",1.0
Reflection of You,A thriving painter's enviable life begins to fray at the edges when a bright young woman she once befriended resurfaces as a shell of her former self.,2021,72,['drama'],1.0
Word Party Presents: Math!,"Count numbers,compare shapes and find patterns with baby animals Franny, Bailey, Kip, Lulu and Tilly as they use math and songs to solve problems",2021,27,"['animation', 'family']",1.0
Creator's File: GOLD,"Comedian Ryuji Akiyama satirizes top ""creators"" in Japan with a deadpan, unerring eye for humor, with help from some surprising celebrity guest stars.",2021,25,"['drama', 'comedy']",1.0
Mad Crazy Colombian Comedians,Four of Colombia's funniest and bawdiest comedians perform before a post-quarantine audience hungry for their stories.,2021,30,[],1.0
Quarantine Tales,"Five different stories, and from a variety of literary genres, offer unique, innovative and interesting perspectives on life during the pandemic in 2020.",2021,20,[],1.0
Plastic Cup Boyz: Laughing My Mask Off!,Comedy collective The Plastic Cup Boyz pour out the punchlines in Atlanta during a trio of raw and lively stand-up specials.,2021,33,[],1.0
Summer Heat,"A group of young adults working at a paradisiac resort live an unforgettable summer as they discover love, true friendships and devastating secrets.",2022,48,"['drama', 'romance']",1.0
Newton's Cradle,"In a romantic drama, events revolve around a wife who has many quarrels between her and her husband, so she decides to end her marital life and travel abroad.",2021,41,"['drama', 'thriller']",1.0
Navarasa,"From amusement to awe, the nine human emotions of Indian aesthetic theory are explored in this anthology series.",2021,34,['drama'],1.0
I Need Romance,"A 33-year-old fashion marketing director at a home shopping channel company has developed a tough, prickly outer shell in order to succeed in the workplace. After multiple failed relationships, she has given up on the idea of ever finding love. A 26-year-old songwriter with a carefree spirit returns home after living abroad for seventeen years. Raised by his mother's friend and her daughter, who is now that 33-year-old fashion marketing director. But she only remembers him as the kid she was forced to play with when her mom was too busy. When these two meet again, he attempts to heal her jaded sense of romance.",2021,45,"['drama', 'romance']",1.0
The Five Juanas,Five women with the same birthmark set out to unravel the truth about their pasts and discover a tragic web of lies spun by a powerful politician.,2021,34,['drama'],1.0
Abla Fahita: Drama Queen,"Falsely incriminated, Abla Fahita is separated from her kids, but the self-indulgent diva will stop at nothing to redeem herself and reunite her family.",2021,25,"['drama', 'comedy', 'crime']",1.0
Lava Ka Dhaava,Actor Jaaved Jaafferi brings his signature humor to this Hindi dubbing of the show where teams creatively navigate rooms flooded with make-believe lava.,2021,30,['reality'],1.0
Barbie: It Takes Two,"Barbie ""Malibu"" Roberts and Barbie ""Brooklyn"" Roberts chase their dreams of musical stardom.",2022,22,[],1.0
Christmas Flow,An unlikely Christmas romance blossoms between a famous rapper and a tenacious journalist. But can they make it work despite their differences?,2021,50,"['music', 'romance', 'comedy']",1.0
Korean Cold Noodle Rhapsody,"Refreshing and flavorful, naengmyeon is Korea’s coolest summertime staple. A journey through its history begins, from how it’s cooked to how it’s loved.",2021,49,['documentation'],1.0
Pitta Kathalu,"Four different women, four journeys of love and betrayal. The common thread? They all want to dismantle the patriarchy.",2021,37,"['drama', 'romance']",1.0
Glimpses of a Future,"A few weeks into the first COVID-19 lockdown in 2020, Yaraqa asked nine creative movers and eight creative writers in Lebanon, France, Iran, Jordan and the USA what the future looks like to them. Each writer was asked to visualize the future and write a story, something rather personal. As Yaraqa read through their reflections, it reached out to a select group of professional dancers and asked them to respond to the text they'd received with movement and dance. In their personal spaces, every dancer embodied the text and filmed their work with a mobile phone. Yaraqa then took the text and footage, pieced them together, curated narration and music to create 8 home-based short films around one central theme. The episodes depict a range of emotions and gently remind us that in times of extreme uncertainty a basic human need emerges, that of re-imagining the future.",2021,4,[],1.0
Masameer County,"A humorous view of a changing Saudi Arabia, as the Masameer gang venture into a global media war, a long-standing tribal feud, and a health craze gone too far.",2021,23,[],1.0
The Big Day,"For six engaged couples, happily ever after begins on a spectacular note in this eye-popping look at India’s multibillion-dollar wedding industry.",2021,45,"['reality', 'romance']",2.0
HQ Barbers,"When a family run barber shop in the heart of Lagos is threatened by real estate developers, they'll do whatever it takes to stay in business.",2021,24,['comedy'],1.0
Mighty Little Bheem: Kite Festival,"With winter behind them, Bheem and his townspeople usher in a sunny new season in all their favorite ways during the Makar Sankranti festival.",2021,0,"['family', 'comedy', 'animation']",1.0
